season,player,position,mean,var
2018,Sean Williams,S,-0.08209341754158028,7.092821541199384e-4
2018,Tyler Johnson,SWR,-0.07228536056297354,5.548328287673736e-4
2018,Bryton Barr,ILB,-0.07655631140624237,2.0121536807102852e-4
2018,Corbin Kaufusi,DE,-0.07341937700246667,2.2026990994026053e-4
2018,Sawyer Powell,S,-0.06609418734100432,8.007704368207093e-4
2018,Chase Hansen,ILB,-0.06628006883918751,1.9420581207483148e-4
2018,Roman Andrus,OG,-0.06869006989855508,2.9217967069328134e-4
2018,Dylan Collie,SWR,-0.07078791165293771,3.9174832264120594e-4
2018,Brayden El-Bakri,RB,-0.07494297587226238,2.723757889554494e-4
2018,Quin Ficklin,C,-0.033604628219438194,0.00160896094224063
2018,Matt Hadley,RB,-0.07418322255099344,3.315996043656165e-4
2018,Austin Hoyt,OT,-0.07128548893295042,2.546314171521103e-4
2018,Butch Pau'u,ILB,-0.07023351906929275,1.9027718304211072e-4
2018,Rhett Sandlin,OLB,-0.0709546556218625,2.917939703550516e-4
2018,D.A. Williams,CB,-0.06451266452322363,3.749841379214566e-4
2018,A.J. Erdely,QB,-0.06373933290323276,7.216495359341885e-4
2018,Brent Stockstill,QB,-0.043823172306081105,5.961108948102882e-4
2018,Jahmal Jones,DE,-0.0765628567445904,2.763015746750804e-4
2018,Austin Robinson,ILB,-0.06880863596728724,2.130624844515791e-4
2018,Tanner Mangum,QB,-0.050193476589971905,6.675889814475175e-4
2018,Matt Barnes,TE,-0.06911318837813775,2.2533415447832517e-4
2018,Ryan Finley,QB,-0.035983180276534785,6.38393379790936e-4
2018,Kendal Keys,WR,-0.068954786446706,1.864876549385612e-4
2018,Durrant Miles,DE,-0.06652790036994044,2.966574548658137e-4
2018,Kenny Bigelow,DT,-0.06037767636001114,2.915902394278345e-4
2018,Shakir Carr,OG,-0.08387737149887585,4.534462456522312e-4
2018,Kyle Chung,OG,-0.06891902345328525,4.3605381320829123e-4
2018,Graysen Schantz,DE,-0.08266499526480804,3.0016174927986587e-4
2018,Tim Harris,CB,-0.06618242829767057,3.693217992911471e-4
2018,Stacy Keely,OLB,-0.07332604761760174,1.861655259572848e-4
2018,Jackson Dillon,OLB,-0.07802563133791285,2.417492186996112e-4
2018,Peyton Pelluer,ILB,-0.06636796375541673,1.9616607771572e-4
2018,Mykel Traylor-Bennett,WR,-0.07150086042310175,1.2913254622295858e-4
2018,Zach Austin,SWR,-0.07849683109496897,6.963796136308783e-4
2018,Tanner Jacobson,SCB,-0.06263774979858998,6.034571936605257e-4
2018,Jon Reschke,ILB,-0.0655972874352999,2.005366176772919e-4
2018,Durrell Wood,OG,-0.06522561599967601,3.7443704337001757e-4
2018,Taivon Jacobs,SWR,-0.07490439803492785,5.290246775615725e-4
2018,Trajan Pili,DE,-0.06710923473359301,2.5854289060293814e-4
2018,Thomas Shoaf,OG,-0.08072151235576627,3.1866941775516585e-4
2018,Merrill Taliauli,DT,-0.07258989238550023,2.610983189639214e-4
2018,Jordan Budwig,OG,-0.06950931134345764,3.1405794785201234e-4
2018,Antonio Riles,OG,-0.07324031296109557,3.3958471581750486e-4
2018,Riley Mayfield,OT,-0.07002556182912231,3.6262215647726067e-4
2018,Garrett Campbell,C,-0.060235734573567144,9.043798236577173e-4
2018,Larry Williams,OG,-0.06740875495583018,2.905255344775405e-4
2018,James Davis,OT,-0.07092041224838676,2.709186540580674e-4
2018,Lo Falemaka,C,-0.09101737466957113,8.312320586429365e-4
2018,Michael Colubiale,RB,-0.06909543770872213,4.0056177642653945e-4
2018,Kevin Richardson II,SCB,-0.07757597733289648,5.497300784672172e-4
2018,Nick Fitzgerald,QB,-0.04219340780103993,5.467014339704384e-4
2018,Will Grier,QB,-0.021496056043960276,9.344292135349647e-4
2018,Gerald Willis,DT,-0.058496581246995444,3.2658517717443425e-4
2018,Brandon Lee,SCB,-0.0597686833314649,5.020642256846641e-4
2018,Jacob August,TE,-0.07509786640298706,2.9776855201362466e-4
2018,Jalen Hurd,SWR,-0.07945993103126779,6.698104086166364e-4
2018,D'Andre Payne,S,-0.060525413780847304,6.689812986852514e-4
2018,Vic Wharton III,WR,-0.07132311408252358,2.141442443781356e-4
2018,Dewayne Hendrix,DE,-0.06346924759075616,3.2143889879759804e-4
2018,Daniel Helm,TE,-0.06415460001279771,4.03747167916258e-4
2018,John Battle,S,-0.03252259831684696,0.0012815304548723322
2018,Garrett Brumfield,OG,-0.06034827561695597,3.192763065177767e-4
2018,Dorian Hendrix,RB,-0.07771050672726804,2.45813469481361e-4
2018,Jared Cornelius,SWR,-0.08959548412142121,8.500433975755358e-4
2018,Gerri Green,DE,-0.0649006510551392,3.026507497340748e-4
2018,Chris Rayford,CB,-0.04999689141836391,8.261856239289723e-4
2018,Aeris Williams,RB,-0.06775306163769916,3.4659702384900716e-4
2018,Cory Thomas,DT,-0.06849816344308476,2.1227750011914412e-4
2018,Shaq Calhoun,OG,-0.0658171865030553,3.4629512819014295e-4
2018,Elgton Jenkins,C,-0.05669963212258614,0.0012112760631948548
2018,Jesse Jackson,WR,-0.062874451793574,2.3041958390395092e-4
2018,Braxton Hoyett,DT,-0.06749204158309174,2.2912559740845116e-4
2018,Deshon Cooper,OLB,-0.07163444163313762,2.3411009759303253e-4
2018,Ravian Pierce,TE,-0.07307946561013515,2.580217853878904e-4
2018,Austin Roberts,TE,-0.06751494960180879,2.6400886588530317e-4
2018,Nick Allegretti,OG,-0.07358568974747622,2.929308797439012e-4
2018,Tre Watson,ILB,-0.06851958341723194,1.6170833442731884e-4
2018,Tito Odenigbo,DT,-0.07110993926740322,2.15651539732005e-4
2018,Derwin Gray,OT,-0.06361963101526978,2.5974394842277185e-4
2018,Drake Harris,WR,-0.06678474298847098,1.6965460042031274e-4
2018,Wilton Speight,QB,-0.037175150271160085,6.466416320566288e-4
2018,Brandon Watson,CB,-0.05884941429153956,4.879099272347791e-4
